IP,延迟(ms),丢包率(%),速度(Mbps)
104.17.182.62,14.75,0.00,0.00
198.41.197.131,14.42,0.00,0.00
104.25.208.70,10.60,0.00,0.00
172.67.167.15,13.13,0.00,0.00
108.162.192.69,14.74,0.00,0.00
172.65.254.145,14.39,0.00,0.00
104.21.86.192,12.16,0.00,0.00
104.25.27.87,13.11,0.00,0.00
104.19.74.94,11.74,0.00,0.00
104.16.206.159,12.16,0.00,24.40
172.67.150.70,13.77,0.00,0.00
104.16.12.126,13.54,0.00,0.00
104.17.236.169,14.57,0.00,0.00
190.93.247.60,13.33,0.00,0.00
172.67.123.47,13.40,0.00,24.47
162.159.252.144,12.00,0.00,0.00
103.31.4.239,12.53,0.00,0.00
172.65.14.201,13.13,0.00,0.00
172.65.102.166,10.51,0.00,0.00
104.21.75.104,13.15,0.00,0.00
108.162.195.4,11.78,0.00,0.00
104.18.194.60,10.77,0.00,0.00
104.18.27.60,14.69,0.00,0.00
104.19.133.78,11.91,0.00,0.00
198.41.196.56,11.11,0.00,0.00
104.25.194.110,15.24,0.00,0.00
198.41.211.68,12.36,0.00,0.00
162.159.34.68,11.72,0.00,0.00
104.24.47.35,14.46,0.00,0.00
188.114.98.53,14.78,0.00,0.00
104.21.68.39,13.36,0.00,0.00
104.24.55.80,14.55,0.00,0.00
172.64.155.70,11.50,0.00,0.00
162.159.93.64,13.42,0.00,0.00
104.25.110.192,14.31,0.00,0.00
104.17.190.173,12.14,0.00,0.00
188.114.98.54,13.97,0.00,0.00
172.66.173.31,12.34,0.00,0.00
104.27.192.15,13.03,0.00,0.00
190.93.246.150,14.65,0.00,0.00
104.17.212.251,12.07,0.00,0.00
188.114.97.139,13.82,0.00,0.00
190.93.247.18,13.43,0.00,0.00
108.162.194.245,13.04,0.00,0.00
